a livestream from the Hammond protest,{'visual_or_audio_recording'}
Former Atlanta Fire Chief Kelvin Cochran,{'otherpublicservice'}
Cochran,{'otherpublicservice'}
"His attorney , Jeremy Tedesco of the Alliance Defending Freedom",{'juridical'}
Graham,"{'religious', 'opposition'}"
The New York Times editorial,{'traditional'}
"Robert White , executive director of the Georgia Baptist Convention",{'religious'}
the Times,{'traditional'}
television station WAGA,{'traditional'}
Tedesco,{'juridical'}
An investigation by the city of Atlanta,{'report_or_scholarlyarticle'}
"Brazile 's CNN colleague , Jake Tapper ,",{'journalistic'}
Tapper,{'journalistic'}
Brazile and Hillary 's staffers,{'political'}
Brazile,{'political'}
the documents released by WikiLeaks,{'wikileaks'}
the CNN host,{'journalistic'}
WMAL,{'visual_or_audio_recording'}
Washington D.C. 's WMAL radio,{'alternative'}
The CNN host of The Lead with Jake Tapper,{'journalistic'}
CNN 's Jake Tapper,{'journalistic'}
A WikiLeaks document,{'wikileaks'}
FBI Director James Comey,{'police'}
Attorney General Loretta Lynch,{'juridical'}
Democrats,"{'government', 'candidate_election'}"
The Wall Street Journal,{'traditional'}
NBC News and ABC News both,{'traditional'}
CNN,{'traditional'}
"Jeremy Lott , author",{'publicist'}
Kathleen Parker,{'journalistic'}
Chris Cillizza,{'journalistic'}
Howard Kurtz,{'journalistic'}
Fox News,"{'news', 'alternative', 'economic_or_business'}"
Peggy Drexler,{'journalistic'}
"Windsor Mann , editor of The Quotable Hitchens",{'publicist'}
Gerald F. Seib,{'journalistic'}
Meghan McCain,{'journalistic'}
Twitter,"{'agent', 'twitter'}"
Politico,{'traditional'}
The Republican National Committee,"{'government', 'opposition'}"
Carr,{'opposition'}
RNC Chief of Staff Katie Walsh,{'opposition'}
Walsh,"{'journalistic', 'opposition'}"
"Chris Carr , the committee 's political director ,",{'opposition'}
RNC Chairman Reince Priebus,{'opposition'}
Billy Crystal he,{'celebrities_or_artistic'}
Bidisha,{'publicist'}
the Television Critics Association,{'medium'}
the Hollywood Reporter,{'entertainment'}
Woman Who Accused Trump Of Rape When She Was 13,{'vox_pop_or_ordinary_people'}
Trump,"{'source', 'economic_or_business', 'candidate_election', 'activistic_or_syndicate'}"
the attorney for a woman who accused Donald Trump of raping her 22 years ago,{'juridical'}
"Tilton , 19",{'opposition'}
Tilton,{'opposition'}
Rubio,{'candidate_election'}
Rubio supporter Scott Szlachta,{'vox_pop_or_ordinary_people'}
Hooton,{'vox_pop_or_ordinary_people'}
a Supreme Court ruling,{'legislationobject'}
CBN,{'alternative'}
Sherman,"{'religious', 'political'}"
"undecided Republican voter Stephanie Hooton of Derry , N.H. ,",{'vox_pop_or_ordinary_people'}
ABC 's `` This Week With George Stephanopoulos .,{'news'}
Boston Herald Radio,{'news'}
State Rep. Rio Tilton,{'opposition'}
"many Republicans , including his supporters ,",{'opposition'}
"one Coralville , Iowa , pastor",{'religious'}
a video posted by CBN,{'alternative'}
"Brad Sherman , pastor of Coralville 's Solid Rock Christian Church and a supporter of former Arkansas governor Mike Huckabee 's campaign",{'religious'}
the major Democratic candidates for president,{'candidate_election'}
Pyongyang,{'political'}
"Hong Yong-pyo , South Korea 's unification minister ,",{'government'}
Kim Jong Un,{'government'}
North Korea,{'political'}
Albright,{'scientific_or_analystic_expert'}
Democratic candidate Tim Kaine,{'candidate_election'}
The South Korean Defense Ministry,{'government'}
Washington,{'political'}
Shearer,{'scientific_or_analystic_expert'}
Jackson,{'scientific_or_analystic_expert'}
the United States,{'political'}
U.S. leaders,{'government'}
"Andrew Shearer , a former Australian national security adviser now at the Center for Strategic and International Studies in Washington",{'scientific_or_analystic_expert'}
analyst Jack Liu,{'scientific_or_analystic_expert'}
"38 North , a website devoted to North Korea",{'website_or_webpage'}
"David Albright , president of the Institute for Science and International Security , a Washington think tank that focuses on nuclear weapons",{'scientific_or_analystic_expert'}
"Van Jackson , associate professor at the Asia-Pacific Center for Security Studies , a Pentagon think tank in Hawaii ,",{'scientific_or_analystic_expert'}
policymakers in neighboring countries and in the United States,{'political'}
"Vipin Narang , a political scientist and expert on nuclear proliferation at MIT",{'scientific_or_analystic_expert'}
"Mike Pence , his Republican rival ,",{'candidate_election'}
Narang,{'scientific_or_analystic_expert'}
the RNC,{'opposition'}
HP 's,{'economic_or_business'}
the Independent Journal,{'alternative'}
Hillary Clinton,"{'government', 'candidate_election'}"
a woman in the audience at a Clinton campaign event in New Hampshire,{'vox_pop_or_ordinary_people'}
the Gallup poll,{'poll'}
the Republican-led House,{'political'}
Juanita Broaddrick,{'vox_pop_or_ordinary_people'}
"Paula Jones , a former Arkansas state employee",{'vox_pop_or_ordinary_people'}
the 40 undecided voters in the audience at Washington University in St. Louis,{'vox_pop_or_ordinary_people'}
three women,{'vox_pop_or_ordinary_people'}
Filmmaker Jack Marino,{'celebrities_or_artistic'}
The Guardian,{'traditional'}
Republicans,"{'political', 'opposition'}"
Wells Fargo 's board,{'economic_or_business'}
Mr. Sloan,{'economic_or_business'}
Mr. Stumpf,{'economic_or_business'}
Some former employees in Wells Fargo 's bank branches,{'economic_or_business'}
Wells workers,{'economic_or_business'}
"Mike Moebs , a former executive at Wells Fargo",{'economic_or_business'}
"Representative Maxine Waters , a California Democrat ,",{'government'}
the Wells Fargo board,{'economic_or_business'}
a member of Congress and other critics,{'political'}
"Julie Miller , who worked at Wells Fargo for eight years in Allentown , Pa. , until being fired in 2013 for not meeting her sales goals",{'economic_or_business'}
"One Wells Fargo teller in Texas , who spoke on the condition of anonymity because she feared losing her job ,",{'economic_or_business'}
"Mike Mayo , a banking analyst at CLSA",{'scientific_or_analystic_expert'}
Washington Post,"{'journalistic', 'traditional'}"
Mook,"{'candidate_election', 'economic_or_business'}"
Republican presidential nominee Donald Trump,{'candidate_election'}
"Ruth Marcus , editorial board editor for The Washington Post ,",{'journalistic'}
Hassan 's,{'government'}
Ayotte,{'opposition'}
Concord resident Whit Symms,{'vox_pop_or_ordinary_people'}
Symms,{'vox_pop_or_ordinary_people'}
Many Republicans,{'opposition'}
Hassan,{'government'}
78 percent of voters in a recent CBS News poll,{'vox_pop_or_ordinary_people'}
Maloy,{'vox_pop_or_ordinary_people'}
the only Republicans in the country,{'opposition'}
Republican,"{'candidate_election', 'opposition'}"
The Republican incumbent,{'opposition'}
"groups such as Emily 's List and former New York mayor Michael R. Bloomberg 's super PAC , Independence USA ,",{'activistic_or_syndicate'}
"Joe Maloy , a Republican from the Concord area ,",{'vox_pop_or_ordinary_people'}
Many of her Republican supporters,{'agent'}
the Republican vice-presidential nominee,{'candidate_election'}
Republican strategists,{'opposition'}
Pennsylvania 's Patrick J. Toomey,{'opposition'}
Illinois 's Mark Kirk,{'opposition'}
the RealClearPolitics polling average in New Hampshire,{'poll'}
some undecided conservatives,{'agent'}
a recent CBS News poll,{'vox_pop_or_ordinary_people'}
The GOP senator,{'opposition'}
Time,{'traditional'}
CBS,"{'news', 'traditional'}"
"Sam Jacobs , Time 's Assistant Managing Editor ,",{'journalistic'}
Jacobs,{'journalistic'}
German conservatives,{'agent'}
One reader,{'agent'}
A German news organization called `` The Local '',{'alternative'}
to CBS,{'traditional'}
Mrs. Clinton 's campaign,{'candidate_election'}
Mr. Trump,{'candidate_election'}
"Russ Schriefer , an adviser to Mr. Romney 's campaign ,",{'political'}
Mr. Schriefer,{'political'}
Mrs. Clinton,{'candidate_election'}
"Tom Vilsack , the secretary of agriculture",{'government'}
Mr. Vilsack,{'government'}
Republicans privy to private polling data,{'opposition'}
Republican and Democratic strategists with access to confidential data,{'political'}
"Michael Podhorzer , the political director of the A.F.L.-C.I.O.",{'activistic_or_syndicate'}
Leading Democratic strategists,{'government'}
"Jeremy Bird , a senior aide to Mr. Obama 's last campaign",{'political'}
other leading Democrats,{'government'}
Cruz,"{'opposition', 'candidate_election'}"
Colorado Republican leaders,{'opposition'}
Trump 's campaign,{'candidate_election'}
Palin,{'candidate_election'}
Trump senior adviser Paul Manafort,{'candidate_election'}
Manafort,"{'political', 'candidate_election'}"
"William E. Wilkin , a history teacher at the high school that was hosting the convention",{'otherpublicservice'}
Wilkin,{'otherpublicservice'}
Black,{'opposition'}
Cruz supporters,{'agent'}
Kasich 's campaign,{'candidate_election'}
via Twitter,{'twitter'}
Gov. C.L. `` Butch '' Otter ( R-Idaho ),{'opposition'}
Buchanan,"{'political', 'candidate_election'}"
The GOP front-runner,{'candidate_election'}
early results from the state 's 14 congressional districts,{'dataset'}
some Republicans,{'opposition'}
an unaligned `` Wyoming first '' push,{'activistic_or_syndicate'}
Sen. Warren,{'government'}
Sen. Elizabeth Warren,{'government'}
The SEC,{'otherpublicservice'}
White,{'otherpublicservice'}
Obama,"{'source', 'government'}"
her letter to Obama,{'interpersonal_communication_or_message'}
"Bart Naylor , financial policy advocate for Public Citizen",{'activistic_or_syndicate'}
business groups and Republicans,{'economic_or_business'}
Rep. Emanuel Cleaver II ( D-Mo . ),{'government'}
Hacked emails of Clinton campaign aides disseminated by WikiLeaks,{'interpersonal_communication_or_message'}
White House deputy press secretary Eric Schultz,{'government'}
"Senate Democrats , including Warren ,",{'government'}
the 2010 Dodd-Frank financial overhaul law and the 2012 JOBS Act,{'legislationobject'}
Walker,{'celebrities_or_artistic'}
TMZ Sports,{'alternative'}
The NFL legend,{'celebrities_or_artistic'}
NFL Legend,{'celebrities_or_artistic'}
"The former Heisman Trophy winner , now a guest speaker who travels around the country ,",{'celebrities_or_artistic'}
"Senator Charles E. Grassley , Republican of Iowa ,",{'opposition'}
Ms. Dong,{'activistic_or_syndicate'}
Mr. Rogers,{'economic_or_business'}
Mr. Norwich,{'economic_or_business'}
a video on YouTube and on his website,{'visual_or_audio_recording'}
an EB-5 fund-raising document,{'otherdocument'}
a March Bloomberg article,{'traditional'}
The 16-page pitch to Chinese investors,{'otherdocument'}
The Times,{'traditional'}
American lawmakers,{'political'}
American regulators,{'otherpublicservice'}
"a spokeswoman for Trump hotels , Jennifer Rodstrom",{'economic_or_business'}
A review by The New York Times of the pitch and its details,{'traditional'}
A hotel project in Texas,{'economic_or_business'}
An investment pitch for a new Texas hotel,{'otherdocument'}
"a job posting on the website of The Beijinger , an English-language Beijing magazine ,",{'website_or_webpage'}
Austin property records,{'dataset'}
"the Chinese president , Xi Jinping ,",{'government'}
"Dong Xiaolin , head of Dacheng Education Group , a company in China 's northern province of Hebei that helps students find schools abroad , a process that can also involve trying to navigate the visa options",{'activistic_or_syndicate'}
Many Chinese people,{'vox_pop_or_ordinary_people'}
Trump and his Republican allies,{'candidate_election'}
FBI notes released Monday,{'memo_or_note'}
Melania Trump,{'candidate_election'}
Mrs. Trump,{'candidate_election'}
His guest list for Wednesday 's faceoff in Las Vegas,{'otherdocument'}
The Trump campaign,{'candidate_election'}
The document released Monday,{'otherdocument'}
The FBI 's records of the interviews,{'report_or_scholarlyarticle'}
Clinton campaign allies,{'candidate_election'}
"Rep. Jerry Nadler , a Democrat from New York and a Clinton ally",{'government'}
Nadler,{'government'}
both the FBI and State Department,{'police'}
Notes on the conversation,{'memo_or_note'}
both State and FBI officials,{'police'}
fellow Republicans,{'opposition'}
President Barack Obama,{'government'}
Fox News aired Tuesday,{'traditional'}
Republican presidential front-runner Ben Carson,{'candidate_election'}
Carson,{'candidate_election'}
Republican candidate Ben Carson,{'candidate_election'}
Twitter messages,{'twitter'}
Trump and other Republicans,{'political'}
Republican candidates,{'candidate_election'}
GOP front-runner Donald Trump,{'candidate_election'}
CBS moderator John Dickerson,{'journalistic'}
radio host Hugh Hewitt,{'news'}
French President FranÃ § ois Hollande,{'government'}
The three Democratic candidates,{'candidate_election'}
"Several candidates , including Trump ,",{'candidate_election'}
None of the three,{'candidate_election'}
All three candidates,{'candidate_election'}
ABC,{'news'}
Zucker,{'economic_or_business'}
"Jeff Zucker , President of CNN Worldwide ,",{'economic_or_business'}
a letter to Zucker,{'interpersonal_communication_or_message'}
Variety,{'entertainment'}
"the Washington Post 's new owner , Jeff Bezos , who is also the founder of Amazon and a Democratic Party mega-donor",{'economic_or_business'}
"Bob Woodward , an associate editor for the Post ,",{'journalistic'}
Woodward,{'journalistic'}
the Post,{'traditional'}
Baron,{'journalistic'}
Post Editor-in-Chief Martin Baron,{'journalistic'}
The UK 's Cameron,{'government'}
Cameron,{'government'}
FBI director Jim Comey,{'police'}
President Obama,{'government'}
EFF,{'activistic_or_syndicate'}
the Guardian,{'traditional'}
the White House,{'government'}
UK,{'political'}
Feinberg,{'journalistic'}
NBC,"{'journalistic', 'traditional'}"
the Gawker employee,{'journalistic'}
they,{'source'}
Trump 's team,{'candidate_election'}
President Obama and former Massachusetts governor Mitt Romney,{'political'}
Sanders 's campaign manager,{'candidate_election'}
Sanders advisers,{'candidate_election'}
"his wife , Jane ,",{'candidate_election'}
Sroka,{'activistic_or_syndicate'}
"Sanders 's campaign manager , Jeff Weaver ,",{'candidate_election'}
"Former Pennsylvania governor Ed Rendell ( D ) , a Clinton supporter ,",{'government'}
Rendell,{'government'}
Clinton allies,{'agent'}
Jane Sanders,{'candidate_election'}
host John Dickerson,{'journalistic'}
"CBS 's `` Face the Nation , ''",{'traditional'}
"David Axelrod , who was chief strategist for Obama 's campaigns ,",{'political'}
Party leaders,{'government'}
"Democratic pollster Geoff Garin , who was then a member of Clinton 's campaign team and now serves as an adviser to Priorities USA , the pro-Clinton super PAC",{'scientific_or_analystic_expert'}
on MSNBC,{'traditional'}
"Sen. Richard J. Durbin ( D-Ill . ) ,",{'government'}
Democracy for America,{'activistic_or_syndicate'}
"Neil Sroka , communications director of the progressive advocacy group Democracy for America ,",{'activistic_or_syndicate'}
Garin,{'scientific_or_analystic_expert'}
Rick Perry,{'opposition'}
Former Texas Gov. Rick Perry,{'opposition'}
Perry,"{'opposition', 'celebrities_or_artistic'}"
The former three-term governor,{'opposition'}
the Texan,{'opposition'}
The Air Force veteran,{'opposition'}
The Advocate,{'alternative'}
the editors of The Advocate,{'journalistic'}
a Baton Rouge newspaper,{'alternative'}
an Alaska lawyer,{'juridical'}
more than 10 women,{'vox_pop_or_ordinary_people'}
Ms. McCaskill,{'government'}
the National Conference on State Legislatures,{'activistic_or_syndicate'}
the Equal Employment Opportunity Commission,{'otherpublicservice'}
"Debra Katz , an employment lawyer",{'juridical'}
Julie Mason,{'journalistic'}
Ms. Mason,{'journalistic'}
"Senator Kirsten Gillibrand , Democrat of New York ,",{'government'}
Ms. Gillibrand,{'government'}
her 2014 book,{'book'}
"Paula Sumberg , a deputy executive director of the office",{'otherpublicservice'}
only 28,{'activistic_or_syndicate'}
Mr. Durham,{'opposition'}
the journalist Olivia Messer,{'journalistic'}
The Texas Observer,{'alternative'}
"Senator Strom Thurmond , the South Carolina Republican",{'political'}
Anita Hill,{'juridical'}
Donald J. Trump,{'candidate_election'}
"The legislator , Bob Griffin ,",{'political'}
some men in Congress,{'political'}
some Missouri lawmakers,{'political'}
the Huffington Post,{'alternative'}
Arianna Huffington,{'journalistic'}
41 percent of the Republican voters surveyed,{'vox_pop_or_ordinary_people'}
Millikin assistant athletic director Bryan Marshall,{'vox_pop_or_ordinary_people'}
Marshall,"{'candidate_election', 'vox_pop_or_ordinary_people'}"
Some Millikin fans,{'vox_pop_or_ordinary_people'}
Millikin University 's Media Coordinator Dane Lisser,{'otherpublicservice'}
statement that was published in the Decatur Herald-Review,{'officialstatement'}
"Steve Little , parent of a Millikin student",{'vox_pop_or_ordinary_people'}
"Jewell Young , a Decatur resident",{'vox_pop_or_ordinary_people'}
NFL quarterback Colin Kaepernick,{'celebrities_or_artistic'}
Many in the small community of Decatur,{'vox_pop_or_ordinary_people'}
Quran verse 71,{'book'}
Bernie Sanders,{'government'}
the Vermont senator,{'government'}
MSNBC 's `` Morning Joe '',{'traditional'}
Blitzer,{'journalistic'}
Blitzer 's CNN show,{'traditional'}
Conway,{'candidate_election'}
CNN host Wolf Blitzer,{'journalistic'}
The Clinton Foundation,{'economic_or_business'}
Another intelligence source,{'source'}
One intelligence source,{'source'}
"Jack Kelly , writing for RealClearPolitics",{'journalistic'}
the FBI,{'police'}
three intelligence sources who spoke to Fox News but were not authorized to speak on the record,{'alternative'}
the Republican presidential hopefuls,{'candidate_election'}
Democratic candidates Hillary Clinton and Bernie Sanders,{'candidate_election'}
IFPTE,{'activistic_or_syndicate'}
One sweeping question,{'otherdocument'}
"Clinton , Sanders",{'candidate_election'}
Sen. Rand Paul ( R-Ky . ),{'candidate_election'}
Donald Trump,"{'journalistic', 'candidate_election'}"
Cruz spokeswoman Catherine Frazier,{'candidate_election'}
Frazier,{'candidate_election'}
Former Arkansas governor Mike Huckabee,{'candidate_election'}
the campaign of the former senator from Pennsylvania,{'candidate_election'}
conservative radio host Laura Ingraham,{'news'}
"Cruz , who had introduced some of those amendments",{'candidate_election'}
"Sen. Ted Cruz ( R-Tex . ) , who has spent the past few weeks taking oblique swipes at Senate colleague and presidential campaign rival Marco Rubio ( R-Fla . ) ,",{'candidate_election'}
a YouTube.com video,{'youtube'}
Ingraham,{'celebrities_or_artistic'}
State Dept.,{'government'}
The State Department,{'government'}
Clinton 's campaign,{'candidate_election'}
The State Department 's,{'government'}
Abedin,"{'political', 'candidate_election'}"
Chelsea,{'candidate_election'}
"John Tefft , then U.S. ambassador to Ukraine ,",{'government'}
WikiLeaks ',{'wikileaks'}
State,{'government'}
"Brian Baker , a longtime political adviser to the Ricketts family who oversees the super PAC 's last-minute campaign to stop Clinton",{'activistic_or_syndicate'}
Baker,"{'vox_pop_or_ordinary_people', 'activistic_or_syndicate'}"
USA TODAY 's super PAC tally,{'report_or_scholarlyarticle'}
"A USA TODAY analysis of super PACs that have raised $ 1million or more since Jan. 1 , 2015 ,",{'report_or_scholarlyarticle'}
a USA TODAY analysis of newly filed campaign-finance reports,{'report_or_scholarlyarticle'}
Glozell,{'celebrities_or_artistic'}
Mota,{'celebrities_or_artistic'}
"Hank Green , a wildly successful vlogger with his brother , who regularly reaches 2.4 million people through their YouTube videos",{'celebrities_or_artistic'}
News junkies and Washington types,{'vox_pop_or_ordinary_people'}
one YouTube host,{'agent'}
36 percent of Democrats,{'vox_pop_or_ordinary_people'}
14 percent,{'vox_pop_or_ordinary_people'}
21 percent,"{'vox_pop_or_ordinary_people', 'military'}"
only 23 percent of those who selected someone who `` cares about people like me '',{'vox_pop_or_ordinary_people'}
only 21 percent who chose `` honest and trustworthy '',{'vox_pop_or_ordinary_people'}
Exit Polls In West Virginia,{'poll'}
"supporters of her opponent , Sen. Bernie Sanders",{'agent'}
Retired U.S. Air Force Gen. Norman Ham,{'military'}
Ham,{'military'}
Trending Today USA with Rusty Humphries,{'alternative'}
Reuters,{'pressagency'}
The Reuters/Ipsos poll,{'poll'}
Another 19 percent,{'vox_pop_or_ordinary_people'}
"The USC Dornsife/Los Angeles Times Daybreak tracking poll , which tracks Americans ' support for the presidential candidates on a daily basis ,",{'poll'}
The Real Clear Politics average of polls taken over the past two weeks,{'poll'}
Fellow Republicans,{'opposition'}
Cameron Easley,{'journalistic'}
Morning Consult,{'news'}
NBC 's Dante Chinni,{'journalistic'}
"Sean Spicer , chief strategist for the Republican National Committee",{'opposition'}
42 percent of those responding,{'vox_pop_or_ordinary_people'}
The latest Reuters/Ipsos opinion poll released Friday,{'poll'}
one of the first post-debate polls to emerge,{'poll'}
Davis,{'political'}
"Davis , who was estranged from her father during his presidency ,",{'political'}
"Davis , a longtime liberal ,",{'political'}
on Facebook,{'facebook'}
Reagan 's Daughter,{'political'}
"Patti Davis , Ronald Reagan 's daughter ,",{'political'}
"Dorothy Woods , whose husband , Navy SEAL Ty Woods , was one of four Americans killed in the 2012 attack of the U.S. consulate in Benghazi , Libya ,",{'military'}
Woods,{'military'}
radio host Hugh Hewitt on Thursday,{'alternative'}
Benghazi Widow Dorothy Woods,{'military'}
The United Nations,{'juridical'}
The Yazidi Fraternal Organization ( YFO ),{'activistic_or_syndicate'}
Millennium Development Goal 2,{'treaty_or_contract_or_agreement'}
The famous novelist JK Rowling,{'publicist'}
"tens , then hundreds , then thousands , then hundreds of thousands",{'vox_pop_or_ordinary_people'}
Business Insider senior editor Josh Barro,{'journalistic'}
Real Time host Bill Maher,{'celebrities_or_artistic'}
guests on his Friday night show,{'agent'}
Allen,{'celebrities_or_artistic'}
Ava DuVernay,{'celebrities_or_artistic'}
DuVernay 's `` 13th '',{'visual_or_audio_recording'}
DuVernay,{'celebrities_or_artistic'}
Cyril,{'activistic_or_syndicate'}
his wife and current Democratic presidential nominee Hillary Clinton,{'government'}
the NAACP,{'activistic_or_syndicate'}
Activist Angela Davis,{'activistic_or_syndicate'}
The two Republican presidents,{'government'}
former President Bill Clinton,{'government'}
the Federal Bureau of Prisons,{'juridical'}
The Huffington Post,"{'alternative', 'traditional'}"
13th amendment in the U.S. constitution,{'legislationobject'}
"Malkia Cyril , the executive director at the Center of Media Justice and whose also featured in the film ,",{'activistic_or_syndicate'}
black storytellers and the Black Lives Matter movement,{'activistic_or_syndicate'}
The Laura Ingraham Show,{'alternative'}
A Reuters rolling poll,{'poll'}
The 50-state poll,{'poll'}
The new 50-state poll,{'poll'}
the recent 50-state poll,{'poll'}
Many conservatives,{'agent'}
"one prominent conservative , syndicated radio host Dennis Prager",{'journalistic'}
Prager,{'journalistic'}
Florida developer Mel Sembler,{'economic_or_business'}
Chairman Reince Priebus,{'opposition'}
"Sembler , who helped lead fundraising for a pro-Bush super PAC ,",{'economic_or_business'}
the Tampa Bay Times,{'traditional'}
a person familiar with Johnson 's views,{'agent'}
"Ron Weiser , who was a national co-chair for Sen. John McCain 's 2008 presidential campaign and is one of the new Trump Victory vice chairs",{'political'}
"Corey Lewandowski , Trump 's campaign manager ,",{'candidate_election'}
some of the GOP 's best-connected fundraisers,{'activistic_or_syndicate'}
senior GOP fundraisers,{'activistic_or_syndicate'}
Weiser,{'opposition'}
"Henry Barbour , a Mississippi-based GOP strategist who serves as a RNC national committeeman",{'opposition'}
Sembler,{'economic_or_business'}
Washburne,{'economic_or_business'}
the State Department,{'government'}
Clinton 's lawyers,{'juridical'}
Sullivan,"{'juridical', 'government'}"
The Clinton campaign,"{'government', 'candidate_election'}"
thee-mail chain contained in Clinton 's records,{'interpersonal_communication_or_message'}
Hackett,{'government'}
a Clinton campaign spokesman,{'candidate_election'}
the Clinton campaign,{'candidate_election'}
Gowdy,{'opposition'}
a State Department spokesman,{'government'}
"John F. Hackett , director of the Office of Information Programs and Services",{'government'}
"a declaration filed in federal court by John F. Hackett , director of the Office of Information Programs and Services ,",{'otherdocument'}
The first ad,{'visual_or_audio_recording'}
Comey,{'police'}
Ad Attacking Hillary Clinton,{'visual_or_audio_recording'}
YouGov,{'economic_or_business'}
Clinton 's camp,{'candidate_election'}
Republican presidential candidate Donald Trump,{'candidate_election'}
"Committee Chairman Rep. Jason Chaffetz , R-Utah ,",{'opposition'}
the new Post-ABC poll,{'poll'}
the Real Clear Politics polling average,{'poll'}
a Washington Post-ABC News poll released Sunday,{'poll'}
Ismayilova,{'journalistic'}
Mustafayev,{'journalistic'}
Aliyev 's regime,{'government'}
Mehdiyev,{'journalistic'}
by Atlantic magazine,{'traditional'}
Novruzov,{'government'}
per Article 125 of the Criminal Code,{'legislationobject'}
the Baku Court of Appeal,{'juridical'}
Barack Obama,{'government'}
Texas Governor Greg Abbott,{'opposition'}
Abbott,{'opposition'}
the Washington Post,{'traditional'}
"Doug Andres , a spokesman for House Speaker Paul Ryan",{'opposition'}
a tweet featuring an image based on the famed Gonzales flag,{'twitter'}
Presidential candidate Donald Trump,{'candidate_election'}
Trump 's new PFD form,{'otherdocument'}
the Trump campaign,{'candidate_election'}
The Hill,{'traditional'}
A Democratic source,{'government'}
One Republican,{'opposition'}
Pagliano,"{'political', 'candidate_election'}"
Several people Republicans have tried to talk to about the Clinton email matter,{'agent'}
Jordan,{'opposition'}
AP,{'pressagency'}
"Rep. Elijah Cummings , the top Democrat on the Oversight Committee ,",{'government'}
a group of Republicans and Democrats on the Oversight Committee,{'political'}
one Democratic source on the panel,{'government'}
"John Bentel , a tech staffer at the State Department",{'government'}
