author,title,description
Richard Tomlins,Democrat from Rhode Island,"Richard Tomlins ran an unsuccessful campaign for mayor in Cranston, R.I. in 2010. He was a business manager for Boston University and Barnard College in New York before moving to the hotel business and retiring as a general manager of Sheraton's subsidiaries."
Scott Walker,Republican from Wisconsin,"Scott Walker, a Republican, is the former governor of Wisconsin. He was first elected in November 2010. He survived a recall election in 2012, defeating Milwaukee Mayor Tom Barrett after igniting controversy with a bill curtailing public-employee union collective-bargaining rights.  He won re-election to a four-year term in November 2014 and was a 2016 presidential candidate before dropping out in September of 2015. He was defeated by Tony Evers in the 2018 gubernatorial election. Walker is a former Milwaukee County executive and former member of the state Assembly."
Jeff DeWit,,Jeff DeWit was elected Arizona State Treasurer in November 2014.
John McCain,Republican from Arizona,"John McCain was a U.S. senator from Arizona, a post he held from 1987 to his death in 2018. He previously served two terms in the U.S. House. He was the Republican nominee for president in 2008. McCain was a graduate of the U.S. Naval Academy and spent his career in the military, as his father did. He was a combat pilot in Vietnam who was shot down and spent 5 1/2 years as a prisoner of war. He was born in 1936 in Panama."
Dan Patrick,Republican from Texas,"As a Houston state senator, Dan Patrick won election as lieutenant governor of Texas in November 2014 after earlier defeating incumbent David Dewhurst for his party's nomination. Patrick also has hosted a daily talk show on AM700 in Houston."
Dale Kooyenga,Republican from Wisconsin,"Dale Kooyenga, born February 12, 1979, was elected as a Republican in the fall of 2010 to represent the 14th District for the Wisconsin State Assembly. He was re-elected in 2012. He lives in Brookfield in suburban Milwaukee. Kooyenga, an accountant, is part of the so-called ""CPA Caucus"" in the Assembly. He is a U.S. Army veteran of the Iraq War and earned a Bronze Star for his service, his official bio states."
League of Conservation Voters,,"The Washington, D.C.-based League of Conservation Voters, according to the nonpartisan Center for Responsive Politics, is “a liberal-leaning organization that raises money primarily in support of environmentally friendly public policy.”"
Jeb Bush,Republican from Florida,Jeb Bush was a Republican candidate for president of the United States in 2016. He served two terms as the governor of Florida from 1999 to 2007. He is also the brother of former President George W. Bush and the son of former President George H.W. Bush.
Lloyd Doggett,Democrat from Texas,Rep. Lloyd Doggett was initially elected to the U.S. House of Representatives in 1994.
"Ron Castorina, Jr.",Republican from New York,"Ron Castorina, Jr. is a Republican New York State Assemblyman from Staten Island."
Michael Morell,,Michael Morell is the former deputy director of the CIA and is a senior security correspondent for CBS News.
Chain email,The PolitiFact scorecard,"Chain emails circulate on the Internet, usually anonymously, making a variety of political claims."
Loretta Weinberg,,Loretta Weinberg is a Democratic state senator representing Bergen County.
Terry McAuliffe,Democrat from Virginia,"Terry McAuliffe, a Democrat, was elected governor of Virginia on Nov. 5, 2013. He received 47.8 percent of the vote in defeating Republican Ken Cuccinelli, who came in at 45.2 percent. Robert Sarvis, a Libertarian, finished a distant third with 6.5 percent. McAuliffe's inaguration as Virginia's 72nd governor is scheduled on Jan. 11, 2014. McAuliffe, a wealthy businessman and noted political fundraiser, was co-chairman of President Bill Clinton's 1996 reelection campaign. He was chairman of the Democratic National Committee from 2001 to 2005 and chairman of Hillary Clinton's unsuccessful presidential campaign in 2008. In 2009, McAuliffe unsuccessfully sought the Democratic nomination for Virginia governor. McAuliffe was born in Syracuse, N.Y., on Feb. 9, 1957. He has a bachelor's degree from The Catholic University of America, Washington, D.C., and a law degree from Georgetown University Law Center, Washington, D.C. McAuliffe has lived in Fairfax County for more than 20 years, is married and has five children."
Mike Gallagher,,"Republican Mike Gallagher of Green Bay was elected to the U.S. House of Representatives in November 2016. He is the senior global market strategist at Breakthrough Fuel, a Green Bay supply chain fuel management company. Gallagher previously served as a human intelligence and counterintelligence officer in the U.S. Marine Corps. He was a foreign policy aide to GOP Wisconsin Gov. Scott Walker's 2016 presidential campaign."
Tammy Baldwin,Democrat from Wisconsin,"Tammy Baldwin was elected to the U.S. Senate on Nov. 6, 2012. She represented Wisconsin’s Second Congressional District from January 1999 to January 2013. She served as a member of the Wisconsin Assembly from January 1993 to January 1999. She was a Dane County supervisor from 1986 to 1994 and briefly served on the Madison Common Council, filling a vacancy, in 1986."
Alberta Darling,Republican from Wisconsin,"Wisconsin state Sen. Alberta Darling, R-River Hills, served in the state Assembly from 1990 to 1992 and has served in the state Senate since 1992. She survived a recall election in August 2011 by defeating state Rep. Sandy Pasch (D-Whitefish Bay)."
Jason Isaac,Republican from Texas,"Jason Isaac was initially elected in 2010 to represent District 45 in the Texas House. He's a 2018 candidate for the U.S. House seat to be vacated by Lamar Smith, R-San Antonio."
Shirley Turner,Democrat from New Jersey,Shirley Turner is a Democratic state senator representing parts of Hunterdon and Mercer counties.
Republican Party of Wisconsin,Republican from Wisconsin,The Wisconsin Republican Party works to elect Republicans to state and federal offices and advance the GOP agenda.
Oregon Department of Fish and Wildlife,,"The Oregon Department of Fish and Wildlife says its mission ""is to protect and enhance Oregon's fish and wildlife and their habitats for use and enjoyment by present and future generations."""
Ron Johnson,Republican from Wisconsin,"Ron Johnson is a Republican U.S. senator from Wisconsin. A businessman and accountant, Johnson defeated Democratic Sen. Russ Feingold in the 2010 election. He is seeking re-election in 2016."
John Kasich,Republican from Ohio,"John Kasich is the governor of Ohio. A Republican and a former congressman, he defeated Democratic Gov. Ted Strickland in 2010 and was reelected in 2014. He ran for president in 2016."
Todd Staples,Republican from Texas,"Staples was first elected agriculture commissioner of Texas in 2006 after previously serving in the Texas Senate and House. He unsuccessfully sought the 2014 Republican nomination for lieutenant governor, afterward resigning for another job."
Russ Feingold,Democrat from Wisconsin,"Russ Feingold served as a Democratic U.S. Senator representing Wisconsin from 1992 until 2010, when he was defeated for re-election. An attorney, he previously served 10 years in the Wisconsin Legislature. Following his Senate defeat, he founded Progressives United, which says it mission is to ""stand up to the exploding corporate influence in our political system by organizing and amplifying the voices of those who believe that corporations have too much power."" Feingold is running against U.S. Sen. Ron Johnson, the man who defeated him, in the 2016 election."
James Bennett,Newsmaker from Rhode Island,James Bennett is chairman of the  board of the Rhode Island Convention Center and director of Providence's Department of Economic Development.
Rick Boucher,Democrat from Virginia,"Rick Boucher, a Democrat, served 14th terms as the U.S. Representative from Virginia's 9th District. He lost his re-election bid in 2010 to Republican Morgan Griffith.."
Rick Scott,Republican from Florida,"Rick Scott, a wealthy Florida businessman, was first elected Florida's 45th governor on Nov. 2, 2010 and re-elected Nov. 4, 2014. He was elected to the U.S. Senate in 2018."
Nina Turner,Democrat from Ohio,"Nina Turner is a state senator from the 25th Senate District in Cleveland. She joined the Ohio Senate in September 2008 after serving on Cleveland City Council. She also served in the administration of former Cleveland Mayor Michael White. In addition to her duties in the Ohio Senate, she teaches at Cuyahoga Community College."
Allan Fung,Republican from Rhode Island,"Allan Fung has been mayor of Cranston, R.I. since Jan. 5, 2009. In 2014 he made an unsuccessful run for governor as a Republican. He received his law degree from Suffolk University, worked as a prosecutor for the state attorney general's office, served as a lobbyist for MetLife and served two terms on the Cranston City Council, beginning in 2002. In his 2012 reelection bid, he was unopposed."
Allen West,Republican from Florida,"Allen West, a retired U.S. Army Colonel, was elected to the U.S. House on Nov. 2, 2010 to represent part of south Florida. He took office Jan. 5, 2011 and served one term before losing to Democrat Patrick Murphy."
Patrick Murphy,Democrat from Florida,Patrick Murphy won his first seat in 2012 for the U.S. House of Representatives representing District 18 in Florida. Murphy lost a U.S. Senate race against Marco Rubio in 2016.
Loranne Ausley,Democrat from Florida,"Loranne Ausley, a former member of the Florida House of Representatives, campaigned to be Florida Chief Financial Officer and was defeated on Nov. 2, 2010."
Newt Gingrich,Republican from Georgia,"Newt Gingrich is a political adviser and author. A former Georgia congressman, Gingrich served as Speaker of the House of Representatives from 1995 to 1999. Gingrich sought the GOP nomination for president in 2012."
EmpowerED Georgia,None from Georgia,"EmpowerED Georgia is an organization of an estimated 3,500 parents, students and teachers that aims to improve Georgia's public education system."
Byron Brown,Democrat from New York,Byron Brown is the mayor of the city of Buffalo. He is a Democrat.
Bob McDonnell,Republican from Virginia,"Bob McDonnell is the Republican governor of Virginia until January 2014. McDonnell was elected over Democratic state Sen. Creigh Deeds. McDonnell previously served in the Virginia House of Delegates from 1992 to 2006 and as state Attorney General from 2006 to 2009. McDonnell graduated from the University of Nortre Dame, Notre Dame, Ind., with a bachelor's degree in 1976. He then served in the U.S. Army on active duty from 1976 to 1981 and in the reserves until 1997, retiring as a lieutenant colenel. He received a master's degree in business adminsitration from Boston University in 1980 and a master's and law degree from Regent University, Virginia Beach, in 1989."
Mitt Romney,Republican from Massachusetts,"Mitt Romney ran for president in 2012 as the Republican nominee, losing to incumbent President Barack Obama. Prior to that, Romney served one term as governor of Massachusetts, elected to the post in 2002. He was born in 1947 in Michigan, where his father was governor from 1963 to 1969. Romney graduated from Brigham Young University and received both a law degree and an MBA from Harvard University. Romney helped found the investment firm Bain Capital in 1984, which launched or rebuilt such companies as Staples and Dominos Pizza. Romney managed the Winter Olympics in Salt Lake City from 1999-2002. He ran for president in 2008 but lost the Republican nomination. He and his wife, Ann, have five sons, Tagg, Craig, Matt, Ben and Josh."
Branko Radulovacki,Democrat from Georgia,Dr. Branko Radulovacki is an Atlanta psychiatrist who is running as a Democrat for the United States Senate.
Stacey Abrams,,"Stacey Abrams, a Democrat, lost the Georgia governor's race in 2018. She is a former House Minority Leader for the Georgia General Assembly and State Representative for the 84th House District."
Chris Christie,Republican from New Jersey,"Chris Christie is the governor of New Jersey and a candidate for the Republican nomination for president in 2016. As governor, Christie won office in 2010 and was re-elected in 2014. Prior to that, he was U.S. Attorney for the District of New Jersey from 2002 to 2008."
Andrew Cuomo,Democrat from New York,"Andrew Cuomo, a Democrat, was elected to his first term as governor of New York in 2010."
Tdtalliance.com,,Tdtalliance.com is a fake news website designed to look as if it is affiliated with Fox News.
Farouk Shami,Democrat from Texas,"Farouk Shami is a Palestinian-born businessman from Houston. He is the founder and chairman of Farouk Systems, Inc., a $1 billion corporation known for it's BioSilk and CHI hair care product lines."
Priorities USA Action,The PolitiFact scorecard,Priorities USA Action is a PAC that is supportive of President Barack Obama.
George Allen,Republican from Virginia,George Allen was a U.S. senator from 2001-2007. He was governor of Virginia from 1994-1998.
Elizabeth Dennigan,Democrat from Rhode Island,"Elizabeth Dennigan is a nurse, lawyer and former 13-year member of the Rhode Island House of Representatives. She ran for Congress in the 2nd District in 2010."
Steven Schale,Democrat from Florida,"Steven Schale is a Democratic strategist who ran President Barack Obama's Florida campaign in 2008. He is principal manager of Schale Strategies, LLC and maintains a blog, www.stevenschale.com."
Joe Biden,Democrat from Delaware,"Joe Biden served as a Delaware senator from 1973 — he was elected at the age of 29 — until 2009. During his time in the Senate, he served as chair of the Foreign Relations Committee, chair of the International Narcotics Control Caucus and chair of the Judiciary Committee. He subsequently served as Barack Obama’s vice president from 2009 to 2016. Biden launched unsuccessful presidential campaigns in 1988 and 2008. He received a degree in history and political science from the University of Delaware and his J.D. from Syracuse School of Law. In 2019, he announced he is running for the Democratic nomination for president."
David Cicilline,Democrat from Rhode Island,"David Cicilline was elected to the 1st Congressional District in 2010. Before that, he was mayor of Providence, beginning in January, 2003. A Brown University graduate, he received his law degree from Georgetown University Law Center."
Will Herring,None from Texas,Will Herring owns the Hubbard-based Wild Boar Meat Company.
Dennis Richardson,Republican from Oregon,"Dennis Richardson is a member of the Oregon House, representing District 4. He is an attorney and owns the law firm of Dennis Richardson & Associates, P.C., in Central Point."
Rick Perry,Republican from Texas,"Rick Perry is the U.S. Energy Secretary and was governor of Texas from late December 2000 through 2014. He was re-elected in 2002, 2006 and 2010. He unsucessfully ran for president in 2012 and 2016."
Tom Craddick,Republican from Texas,"Tom Craddick of Midland, a House member since 1969, was elected by that body as the first Republican House speaker in 2003 and won the post again in 2005 and 2007 before Rep. Joe Straus of San Antonio was chosen in 2009. He is the most senior member of the House."
Freedom Partners Action Fund,,"The Freedom Partners Action Fund, a Super PAC, says it supports ""candidates who believe in freedom, who will empower innovators and entrepreneurs over special interests to expand opportunities, create strong communities, and give everyone the best shot at a better life."""
Adam Hasner,Republican from Florida,"Adam Hasner, R-Delray Beach, is a former Majority Leader for the Florida House of Representatives."
Dan Flynn,Republican from Texas,Dan Flynn represents Texas' second district in the Texas House.
Jason Smith,Republican from Missouri,"Jason Smith, a Missouri Republican, was elected to the U.S. House of Representatives in a special election in June 2013."
Ron Paul,Republican from Texas,"Ron Paul, a Texas physician, served two stints in the U.S. House. He also was the Libertarian Party nominee for president in 1988 before later seeking the Republican presidential nomination in 2008 and 2012. He didn't seek re-election to the House in 2012."
Dave Brat,Republican from Virginia,"Dave Brat represents Virginia's 7th Congressional District in the U.S. House of Representatives. He was first elected to the seat in 2014 after pulling of a stunning upset of Majority Leader Eric Cantor in a Republican Primary. He is active in the Freedom Caucus, a conservative wing of Republican congressmen. Prior to Congress, Brat was chairman of the business and economics department at Randolph-Macon College. Brat, a midwestern native, has obtained a Masters in Divinity from Princeton Theological Seminary and a Ph.D. in economics from American University. He began teaching at Randolph-Macon in 1996. Brat served two Governors on the Joint Advisory Board of Economists. He was president of the Virginia Association of Economists."
Colleen Kiernan,None from Georgia,Colleen Kiernan is director of the Georgia Sierra Club.
Tom Bossert,,"Tom Bossert, a former national security aide to President George W. Bush, serves as President Donald Trump's homeland security adviser."
Lupe Valdez,Democrat from Texas,"Lupe Valdez, a Democrat elected four times as Dallas County sheriff, declared her candidacy for governor in December 2017. She won the party’s nomination in May 2018."
Tina Smith,Democrat from Minnesota,"Tina Smith, a Democrat from Minnesota, was appointed to the U.S. Senate in 2017, filling a vacancy created when Al Franken resigned. Smith had previously served as lieutenant governor."
Dannel Malloy,Democrat from Connecticut,"Dannel Malloy, a Democrat, is the governor of Connecticut. Before being elected governor in November 2010, Malloy served as the mayor of Stamford from 1995 to 2009."
Charlie Crist,Democrat from Florida,"Charlie Crist is a Democratic U.S. congressman from St. Petersburg, beating U.S. Rep. David Jolly for the District 13 seat in 2016. As a Republican, he served as governor from 2007 to 2011. Crist left the Republican Party in 2010 to mount a campaign for the U.S. Senate as an independent. Crist lost the race to Marco Rubio. In 2012, he endorsed President Barack Obama and announced that he had registered as a Democrat. He lost his race as a Democratic candidate for governor in 2014."
Bob Stacey,Democrat from Oregon,Bob Stacey was executive director of 1000 Friends of Oregon until 2009. He also has worked as chief of staff for Rep. Earl Blumenauer and for the Ball Janik law firm. He also has worked for TriMet and for then-Gov. Barbara Roberts as a senior policy adviser. He was elected to the Metro Council in May 2012.
Kevin de León,,
Tommy Thompson,Republican from Wisconsin,"Tommy Thompson, a Republican, was a 2012 candidate for the U.S. Senate from Wisconsin. He served as governor of Wisconsin from 1987 until 2001, when he left office to become President George W. Bush's secretary of health and human services. He previously spent 20 years in the Wisconsin Assembly. Thompson briefly ran for president, withdrawing in 2007."
Israel O'Quinn,,Israel O'Quinn was elected to the House of Delegates in 2011. He represents the 5th district in Southwest Virginia and is the deputy majority whip in the House.
Barry Hinckley,Republican from Rhode Island,"Barry Hinckley ran an unsuccessful race, as a Republican running, for the U.S. Senate in Rhode Island in 2012. A graduate of the University of Colorado, Boulder, he is the founder and former president of Bullhorn Software in Boston. He is also an aviator and has raced sailboats professionally."
David Jolly,Republican from Florida,"David Jolly won a special election in March 2014 to represent the 13th U.S. Congressional District in Pinellas County, Florida. He won re-election in 2014 and was defeated by Democrat Charlie Crist in 2016. He is a former Washington lobbyist and aide to C.W. Bill Young."
Bloggers,,
Mitch Daniels,Republican from Indiana,Mitch Daniels served as director of the Office of Management and Budget under President George W. Bush and is now the governor of Indiana.
world-newss.com,,
Democratic National Committee,The PolitiFact scorecard,The Democratic National Committee is the national organization of Democrats.
Ivanka Trump,,Ivanka Trump is an American businesswoman and the daughter of and assistant to President Donald Trump.
Mary Burke,Democrat from Wisconsin,"Burke is a former Trek Bicycle executive and former Wisconsin Commerce Department secretary who announced on Oct. 7, 2013 that she would seek the Democratic nomination for governor in Wisconsin in the fall 2014 election against incument Republican Gov. Scott Walker. She lost to Walker on Nov. 4, 2014. She is a school board member in Madison, Wisconsin."
Bill O'Reilly,The PolitiFact scorecard,Bill O'Reilly hosted The O'Reilly Factor on Fox News until 2017. He formerly worked as a television news reporter and has authored numerous books.
Ed Gillespie,"Republican from Washington, D.C.",Ed Gillespie is a Republican strategist who currently runs the firm Ed Gillespie Strategies. He served as counselor to former President George W. Bush. Gillespie has announced he will run for Virginia governor in 2017. He narrowly lost a 2014 bid for the U.S. Senate to Democrat Mark Warner.
Bernie Sanders,Independent from Vermont,"Bernie Sanders is a senator from Vermont. Sanders was first elected to the Senate in 2007 and was re-elected in 2012 and 2018. The senator also ran an unsuccessful presidential campaign in 2016, losing the Democratic primary to Hillary Clinton. From 1991 until 2007, he was the representative of Vermont’s At-Large District of the House of Representatives. Sanders was the mayor of Burlington from 1981 to 1989. He received a bachelor’s degree in political science from the University of Chicago. In 2019, he announced he is running for the Democratic nomination for president."
Wisconsin Contractor Coalition,Organization from Wisconsin,"Wisconsin Contractor Coalition is comprised of 400 firms in the construction contracting business that was formed in late 2014 to opposed enactment of a so-called ""Right to Work"" law in Wisconsin."
Stephen Sweeney,,State Senate President Stephen Sweeney is a Democrat representing Salem County and parts of Gloucester and Cumberland counties.
Jeff Kruse,Republican from Oregon,"Jeff Kruse represents Senate District 1, which includes Roseburg. He is co-owner of Kruse Farms."
John Skvarla,Republican from North Carolina,John Skvarla is a Republican political appointee and N.C. Secretary of Commerce
Republican Jewish Coalition,"Republican from Washington, D.C.","The Republican Jewish Coalition is a group that seeks to serve as ""bridge between the Jewish community and Republican leaders."""
Kelda Helen Roys,The PolitiFact scorecard,"Kelda Helen Roys, a Madison Democrat, was elected to the Wisconsin Assembly in 2008 and served until 2012. In 2012, she lost to Mark Pocan in the race for the Democratic nomination for the U.S. House of Representatives. She is running for the Democratic nomination for governor in 2018. An attorney, Roys is the former executive director of NARAL Pro-Choice Wisconsin, which supports abortion rights."
Hunter Schwarz,,Hunter Scwarz is a reporter for the Washington Post.
Leah Vukmir,Republican from Wisconsin,"Republican Leah Vukmir was elected to the Wisconsin state Senate in 2010, representing a suburban Milwaukee district. She served in the state Assembly from 2002 to 2008. She lost a bid for the U.S. Senate in 2018."
Eric Cantor,Republican from Virginia,"Eric Cantor is a former congressman who represented Virginia's 7th District from 2001 to 2014. He rose to House minority whip in 2009 and House majority leader in 2011. Cantor was upset by Dave Brat in the 2014 GOP primary for congress. He is now vice chairman and managing director of Moelis & Company, a global investment bank."
Leticia Van de Putte,Democrat from Texas,"Leticia Van de Putte, a pharmacist, was the 2014 Democratic nominee for lieutenant governor. She previously served in the Texas House."
Wendy Davis,Democrat from Texas,"Wendy Davis, a Fort Worth attorney, was initially elected to the Texas Senate in 2008. She was the 2014 Democratic gubernatorial nominee, giving up a shot at winning re-election to the Senate."
Republican Governors Association,"Republican from Washington, D.C.",the gubernatorial campaign arm of the Republican Party.
Vincent Barrella,Independent from New Jersey,Vincent Barrella is the mayor of Point Pleasant Beach.
Caleb Rowden,Republican from Missouri,Caleb Rowden is a member of the Missouri House of Representatives representing District 44.
Rick Santorum,Republican from Pennsylvania,Rick Santorum is running for the Republican nomination for president in 2016. He is a former U.S. senator from Pennsylvania and was a Republican presidential candidate in 2012.
Ohio Federation of Teachers,None from Ohio,"The Ohio Federation of Teachers represents more than 20,000 members in more than 50 locals across Ohio. Its members include include public education employees, higher education faculty and support staff and other public workers."
Sid Covington,None from Texas,"Businessman Sid Covington of Austin chairs the board of the Lone Star Rail District, based in San Marcos, Texas, is a public agency with a focus on developing a regional passenger rail line connecting San Antonio to Georgetown, north of Austin."
Democratic Congressional Campaign Committee,The PolitiFact scorecard,The Democratic Congressional Campaign Committee is responsible for assisting Democratic candidates for the U.S. House.
Mario Diaz-Balart,,
Tom Daschle,,Tom Daschle is a former U.S. senator from South Dakota.
Ted Strickland,Democrat from Ohio,Ted Strickland was governor of Ohio from 2007 through 2010. He lost his bid for re-election in 2010 to Republican John Kasich.
Carl Heastie,Democrat from New York,Carl Heastie is the Speaker of the New York State Assembly. He is an Assemblyman from the Bronx.
Sierra Club,,Sierra Club is a grassroots environmental organization.
Mike Stenhouse,Newsmaker from Rhode Island,"Mike Stenhouse is the chief executive officer of the Rhode Island Center for Freedom and Prosperity, a conservative think tank. A Cranston, R.I., native, he is a former player for the Boston Red Sox, Minnesota Twins and Montreal Expos. Previously, he was executive director of the Ocean State Policy Research Institute. He has an economics degree from Harvard University, served as chairman for the 2010 Rhode Island Clean Slate campaign, and as vice president of the Board of Directors for Rhode Island Special Olympics."
Jimmy Flannigan,None from Texas,"Jimmy Flannigan, a 2016 candidate for the District 6 seat on the Austin City Council, also ran for the post in 2014. He says on his campaign website he's a small businessman and community leader."
Senate Majority PAC,"Democrat from Washington, D.C.",Senate Majority PAC is a group working to protect and expand the Democratic majority in the U.S. Senate.
Greg Abbott,Republican from Texas,"Greg Abbott won election as governor of Texas in November 2014, carrying 59 percent of the vote. Abbott, a former member of the Texas Supreme Court, served three terms as the state's attorney general before being succeeded by Ken Paxton in early 2015."
AmeriPAC,,AmeriPAC is a political action committee that largely supports conservative Republican candidates.
Ernest Moniz,Democrat from Massachusetts,"Ernest Moniz served in as the associate director for Science in the Office of Science and Technology Policy in the Executive Office of President Bill Clinton from 1995 to 1997 and in the U.S. Department of Energy, serving as Under Secretary of Energy, from 1997 to 2001. He joined the faculty of Massachusetts Institute of Technology in 1973, serving as Head of the Department of Physics from 1991 to 1995 and as director of the Bates Linear Accelerator Center. He also co-chairs the MIT research council."
Patrick Lynch,Democrat from Rhode Island,"Patrick Lynch served as Rhode Island's attorney general from 2003 to 2010. He was, for a time in 2010, a candidate for governor. He is a big fan of Spider-Man. Divorced, Lynch is the father of two."
New Boston Republican Committee,Republican from New Hampshire,"Republican committee for New Boston, New Hampshire. The committee is made up of Republican, independent and undeclared voters. Formed in 2010, it seeks to vet Republican candidates running for local, state and national office."
Marco Rubio,Republican from Florida,"Marco Rubio, a U.S. senator from Florida, was a candidate for president of the United States in 2016 and then dropped out and won re-election to the Senate. He was first elected to the Senate in 2010 and took office Jan. 5, 2011. Rubio served in the Florida House of Representatives from 2000 to 2008 and is a former Speaker of the Florida House. He served on the West Miami City Commission from 1998 to 2000. He is from Miami and holds a law degree from the University of Miami."
Sherrod Brown,Democrat from Ohio,Sherrod Brown is a Democratic U.S. Senator representing Ohio. He won his first elected office to the Ohio House of Representatives in 1974. He later served as Ohio secretary of state and was elected to Congress in 1992. He first joined the U.S. Senate in 2007.
Paul Ryan,Republican from Wisconsin,"U.S. Rep. Paul Ryan, R.-Wis., became Speaker of the House in 2015 and served until his retirement in January 2019. Ryan was elected to represent southern Wisconsin in Congress in 1998 and for part of his tenure chaired the House Budget Committee. He was Mitt Romney's vice-presidential running mate in the 2012 presidential election. He did not seek re-election in 2018."
Facebook posts,The PolitiFact scorecard,Posters on Facebook and other social media networks.
Jim Patterson,Republican from California,Republican state assemblyman from Fresno.
David Frum,,David Frum is senior editor at the Atlantic. He served as a speechwriter for George W. Bush.
Joe Scarborough,The PolitiFact scorecard,"Joe Scarborough, a former Republican congressman from Florida, is the host of ""Morning Joe"" on MSNBC. He is a lawyer with Beggs and Lane, the oldest firm in Florida and a former publisher and editor of ""The Florida Sun,"" a newspaper."
Florida Department of Corrections worker,None from Florida,"A Florida Department of Corrections worker asked a pointed question to Florida Gov. Rick Scott about potential benefits cuts for state workers at a meet-and-greet on Feb. 21, 2011."
