author;title;description;type
Jimmy Flannigan;None from Texas;Jimmy Flannigan, a 2016 candidate for the District 6 seat on the Austin City Council, also ran for the post in 2014. He says on his campaign website he's a small businessman and community leader.;
AmeriPAC;nan;AmeriPAC is a political action committee that largely supports conservative Republican candidates.;
Facebook posts;The PolitiFact scorecard;Posters on Facebook and other social media networks.;
David Frum;nan;David Frum is senior editor at the Atlantic. He served as a speechwriter for George W. Bush.;
Joe Scarborough;The PolitiFact scorecard;"Joe Scarborough, a former Republican congressman from Florida, is the host of ""Morning Joe"" on MSNBC. He is a lawyer with Beggs and Lane, the oldest firm in Florida and a former publisher and editor of ""The Florida Sun,"" a newspaper.";
Florida Department of Corrections worker;None from Florida;A Florida Department of Corrections worker asked a pointed question to Florida Gov. Rick Scott about potential benefits cuts for state workers at a meet-and-greet on Feb. 21, 2011.;
Karen Handel;The PolitiFact scorecard;Karen Handel is the former secretary of state of Georgia. She is also the former chair of the Fulton County Board of Commissioners. Handel, a Republican, lost the runoff for the GOP nomination for Georgia governor in 2010.;
Kenneth Block;nan;Kenneth Block is a software engineer and president of Simpatico Software Systems. He founded Rhode Island's Moderate Party and ran unsuccessfully for governor in 2010. He switched to the Republican Party in 2013 and made an unsuccessful run for Rhode Island Governor in 2014.;
Federation for American Immigration Reform;nan;The Federation for American Immigration Reform is an organization whose mission statement is to educate Americans about the costs of immigration, particularly illegal immigration.;
Jim Whelan;nan;State Sen. Jim Whelan is a Democrat from Atlantic County.;
Paul Vallas;nan;Paul Vallas is the former superintendent of several school districts, including CEO of Chicago Public Schools. He ran for Lieutenant Governor with Pat Quinn in 2014.;
Rachel Maddow;The PolitiFact scorecard;Rachel Maddow is the host of MSNBC’s “The Rachel Maddow Show”. She formerly hosted a radio program of the same name on the defunct Air America network.;
Jackie Dingfelder;nan;State Sen. Jackie Dingfelder is a Portland Democrat representing District 23.;
Donna Shalala;None from Florida;U.S. Rep. Donna E. Shalala represents the 27th district in south Florida and was elected in 2018. She was the president of the University of Miami 2001-2015 and then served as president and CEO of the Clinton Foundation. Shalala served as the U.S. Secretary of Health and Human Services 1993-2001.;
Conservative Stories;nan;Conservative Stories is a rightwing website.;
Michael Doherty;nan;Michael Doherty is a Republican state Senator representing parts of Warren, Somerset and Hunterdon counties. He previously served in the state Assembly from 2002 to 2009.;
Carole Smith;None from Oregon;Carole Smith is the superintendent of the state's largest school district, Portland Public Schools.;
Nathan Deal;The PolitiFact scorecard;Nathan Deal is running for Georgia governor in 2010.;
Marjorie Sanfilippo;None from Florida;Marjorie Sanfilippo teaches psychology at Eckerd College in St. Petersburg, Fla., and has done research on youth gun violence.;
Ronan Farrow;nan;"Ronan Farrow hosts ""Ronan Farrow Daily"" on MSNBC.";
Ralph Reed;nan;Ralph Reed is a conservative political strategist and is founder and chairman of the Faith & Freedom Coalition.;
EMILY's List;nan;EMILY's List is a political advocacy group that raises money to elect Democratic women who support abortion rights.;
Ben Carson;The PolitiFact scorecard;Dr. Ben Carson is President Donald Trump's secretary for the U.S. Department of Housing and Urban Development. A retired pediatric neurosurgeon, Carson ran as a Republican for president in 2016. He owns homes in West Palm Beach and Maryland.;
Organizing for America;nan;Organizing for American was created from Barack Obama's campaign organization after the election of 2008. It is an advocacy group affiliated with the Democratic National Committee.;
Don Pridemore;nan;Wisconsin state Rep. Don Pridemore, a Republican suburban Milwaukee lawmaker from Erin in Washington County, was elected to the state Assembly in 2004. In 2012, he announced he would run for state superintendent of public instruction in the 2013 election.;
We Are Milwaukee;nan;"We Are Milwaukee, which is registered with the Wisconsin Government Accountability Board as a political committee, says it works for ""social and economic justice.""";
James Quintero;None from Texas;James Quintero of the conservative-leaning Texas Public Policy Foundation says he's focused his research efforts on: state & local government spending, debt, taxes, financial transparency, annexation, and pension reform.;
Anne Goodman;None from Ohio;Anne Goodman is the executive director and CEO of the Cleveland Foodbank, which provides food for 450 meal sites, shelters and pantries.;
Mark Geist;nan;"Mark ""Oz"" Geist was a member of the security team at the CIA annex in Benghazi, Libya, during the attack on the U.S. consulate in 2012.";
Ron Shipman;None from Georgia;Ron Shipman is the vice president of environmental affairs at Georgia Power. Shipman directs the company’s environmental stewardship and compliance programs to meet or surpass all environmental laws and regulations.;
Americans for a Strong Defense;nan;"Americans for a Strong Defense is a 501(c)4 that opposes the Chuck Hagel nomination for U.S. Secretary of Defense. Its website states its mission as ""to promote policies that will ensure the United States remains secure and continues to be in a position to maintain security commitments to our allies.""";
Americans for Prosperity Georgia chapter;nan;Americans for Prosperity's Georgia chapter is a conservative group advocates for limited government, free markets and fiscal and regulatory restraint.;
Don Blankenship;nan;Don Blankenship is a candidate for U.S. senator from West Virginia and the former CEO of Massey Energy. He spent a year in jail for his conviction on conspiring to avoid mine safety regulations, an act that led to the deaths of 29 miners in a 2010 mine explosion.;
Progressive Change Campaign Committee;nan;The Progressive Change Campaign Committee is a liberal political action committee.;
Dana Wachs;nan;Democratic state Rep. Dana Wachs, an Eau Claire lawyer, was elected to the Wisconsin Assembly in 2012.;
Eric Swalwell;nan;Eric Swalwell is a representative of California’s 15th Congressional District. Swalwell has represented the district since 2013. He received his bachelor’s degree in government and politics from the University of Maryland, College Park and a J.D. from the University of Maryland School of Law. In 2019, he announced he is running for the Democratic nomination for president.;
Tammy Hall;nan;Tammy Hall, 50, was elected to the Lee County Board of Commissioners District 4 seat in November 2004.  In November 2005, she served as chairwoman, becoming the first woman to chair the board in its 119-year history. Previously, she represented Ward 1 on the Fort Myers City Council.;
Ohio Department of Transportation;None from Ohio;The Ohio Department of Transportation is the state agency charged with maintaining Ohio's state roadways. It also oversees a $400 million passenger rail projected funded by money from federal stimulus money.;
Tom McCarey;nan;Member of the National Motorists Association.;
Steve Loomis;None from Ohio;Steve Loomis is the president of the Cleveland Police Patrolmen's Association.  CPPA serves as the bargaining unit for all non-supervisory patrol officers, detectives, and radio dispatchers in Cleveland and has about 1,450 members.;
Steve Goreham;Activist from Illinois;Steve Goreham is executive director of the Climate Science Coalition of America, an association of scientists, engineers, and citizens that believes there is no evidence that global warming is man-made or will be a crisis.;
Charles Odimgbe;State official from Rhode Island;Charles Odimgbe is the Chief Executive Office of the Rhode Island Public Transit Authority.;
Dominick Marino;None from New Jersey;Dominick Marino is president of The Professional Firefighters Association of New Jersey.;
Pam Stewart;State official from Florida;Pam Stewart is a former public school teacher and principal. In 2004, she was named Deputy Chancellor for Educator Quality at the Florida Department of Education. She served in that position until 2009 when she moved to the St. Johns County School District to become Deputy Superintendent for Academic Services. She returned to the department in 2011 as Chancellor of Public Schools. In August 2013, the state Board of Education named her as the interim commissioner after the resignation of Tony Bennett.;
Lamar Alexander;nan;Lamar Alexander is the senior senator from Tennessee.;
Mahlon Mitchell;nan;Mahlon Mitchell has served as president of the Professional Fire Fighters of Wisconsin union since January 2011. A Democrat, he lost to Republican Lt. Gov. Rebecca Kleefisch in Wisconsin's June 2012 recall elections. In November 2017, he announced his candidacy for governor in the 2018 election.;
Tweets;The PolitiFact scorecard;Twitter is a messaging service where people often discuss politics. Individual messages are called Tweets.;
The David Perdue Files;None from Georgia;The David Perdue Files is a website dedicated to revealing facts about him.;
Rush Holt;nan;U.S. Rep. Rush Holt is a Democrat representing New Jersey's 12th district.;
The Freedom Project;nan;The Freedom Project is a Republican fundraising operation led by House Republican Leader John Boehner.;
Jeff Bridges;nan;Jeff Bridges is an Academy Award-winning actor, singer and activist.;
The Coalition for Public Schools;nan;"Group that ""represents religious, child advocacy and education organizations.""";
Campaign Money Watch;nan;Campaign Money Watch is an independent political group known as a 527, after the section of the tax code that governs such groups.;
Paul Krugman;The PolitiFact scorecard;Paul Krugman is a columnist for the New York Times and professor of Economics and International Affairs at Princeton University. He was awarded the Nobel Prize in Economics in 2008. He describes himself as liberal.;
Debbie Jackow;nan;Debbie Jackow, 57, is running for the Lee County Board of Commissioners District 4 seat in November 2010 against incumbent chairwoman Tammy Hall. Jackow now works as a clinical laboratory scientist for Lee Memorial Health System.;
Crossroads GPS;The PolitiFact scorecard;Crossroads GPS is a conservative advocacy group founded by prominent Republicans, including former White House political adviser Karl Rove.;
Dick Cheney;The PolitiFact scorecard;Dick Cheney served as Vice President of the United States from 2001 to 2009 in the administration of George W. Bush.;
Chris Matthews;nan;Chris Matthews is the host of the MSNBC show Hardball. Previously, Matthews served on the staffs of congressional Democrats and worked as a speechwriter for President Jimmy Carter. He also worked as chief of staff to former House Speaker Tip O'Neil.;
Jim Spencer;None from Texas;Jim Spencer has been chief weathercaster for KXAN TV in Austin since 1993.;
Casey Cagle;nan;Casey Cagle, a Republican, is the lieutenant governor of Georgia;
Sonny Perdue;nan;Sonny Perdue is the former governor of Georgia. He serves as Secretary of Agriculture for the Trump administration.;
Clay Cox;nan;Republican Clay Cox is running for U.S. House of Representatives in Georgia's 7th district.;
E. Gordon Gee;None from Ohio;Has been president of Ohio State University since 2007. Also served as OSU president in the 1990s.  Formerly was president of West Virginia University, the University of Colorado and Brown University, and chancellor of Vanderbilt University.;
Debbie Mayfield;nan;Rep. Debbie Mayfield is the representative for District 54, which includes Vero Beach, Indian River Shores and parts of Fort Pierce.;
Lawrence O'Donnell;nan;Lawrence O'Donnell is the host of MSNBC’s The Last Word. He was formerly the chief of staff for both the U.S. Senate Committee on Finance and the Committee on Environment & Public Works in the 1990's. He is also an actor, and has been executive producer of the television shows The West Wing and Mister Sterling. O'Donnell blogs at the Huffington Post as well. In the past, O'Donnell has described himself as a socialist.;
Citizens for Transportation Mobility;None from Georgia;Citizens for Transportation Mobility is an advocacy group that supports a 1 percent sales tax to pay for transportation projects in Georgia.;
Dana Perino;nan;"Dana Perino is the former press secretary to President George W. Bush. She now is a Fox News commentator and co-host of ""The Five.""";
Scott Keyes;nan;Scott Keyes is a reporter for ThinkProgress.org, a web site of the left-leaning Center for American Progress Action Fund. The fund is run by John Podesta, who served as chief of staff for President Bill Clinton.;
TriMet;nan;TriMet is the regional public transit agency.;
Public Notice;nan;Public Notice and its Public Notice Research & Education Fund advocate on economic issues and the federal government. Public Notice does not disclose its donors. Public Notice’s executive director, Gretchen Hamel, is a former spokesman for the House Republican Conference.;
Steven Rattner;nan;Steven Rattner is a former adviser to President Barack Obama who now appears as an economic analyst on MSNBC's Morning Joe.;
billhislam.com;None from Tennessee;The website billhislam.com attempts to link Tennessee Gov. Bill Haslam to efforts allowing Islam to influence state public policy and finance.;
Americans for Prosperity: Florida;None from Florida;"Americans for Prosperity Florida is the Florida affiliate of a free-market group that fights ""big government.""";
Democratic Senatorial Campaign Committee;nan;The Democratic Senatorial Campaign Committee works to elect Democrats to the U.S. Senate.;
National Republican Senatorial Committee;The PolitiFact scorecard;The National Republican Senatorial Committee helps elect Republicans to the U.S. Senate.;
Portland Public Schools;None from Oregon;Portland Public Schools is Oregon's largest school district.;
The Trump Talks;nan;The Trump Talks is a pro-President Donald Trump website.;
Steve Rothman;nan;Steven R. Rothman served as a Democratic congressman representing parts of northern New Jersey between January 1997 and January 2013. He left office after losing a primary election to Rep. Bill Pascrell.;
Kitty Boitnott;None from Virgina;Kitty Boitnott was president of the Virginia Education Association, an organization of about 60,000 public school teachers, from 2008 to 2012..;
Kathleen Vinehout;nan;Democrat Kathleen Vinehout is a Wisconsin state senator from Alma, in western Wisconsin. The former university professor and dairy farmer was elected to the Senate in 2006 and re-elected in 2010. She ran unsuccessfully for the Democratic nomination to run against Gov. Scott Walker in the gubernatorial recall election in 2012.;
Sam Rashid;None from Florida;Sam Rashid is the chief executive officer of HOLTEC USA, which supplies equipment to the lumber industry. He is also involved with several other area businesses. Rashid, of Valrico, is a leading critic of the proposed sales tax increase for transit and roads in Hillsborough County.;
Clay Dafoe;nan;Tax preparer and Austin mayoral candidate;
Joe Roman;Business leader from Ohio;President and CEO, Greater Cleveland Partnership, a chamber of commerce organization;
Evan Jenkins;nan;U.S. Congressman representing West Virginia's 3rd district.;
Progress Florida;nan;Progress Florida is a liberal public interest group based in St. Petersburg, Fla.;
American Crossroads;The PolitiFact scorecard;American Crossroads is a 527 campaign committee that supports Republican candidates.;
Tim Pawlenty;The PolitiFact scorecard;Tim Pawlenty is the former governor of Minnesota, having served two terms in office from 2003-2011.;
Ryan Lizza;nan;Ryan Lizza is the Washington correspondent for The New Yorker, and also an on-air contributor for CNN. Lizza teaches at Georgetown University.;
Ron Dermer;nan;Ron Dermer is the Israeli ambassador to the United States.;
Eric Hovde;nan;Eric Hovde, a hedge fund manager and businessman from Madison, entered politics by running for the Republican nomination for U.S. Senate in 2012. He finished second in the GOP primary.;
Eric Johnson;nan;Lobbyist Eric Johnson, a Republican, is a former Georgia state senator.;
No Tax For Tracks;nan;No Tax For Tracks is a community organization in Pinellas County created to oppose budget increases for the Pinellas Suncoast Transit Authority.;
Antiwar.com;nan;Antiwar.com is a non-interventionist website division of the Randolph Bourne Institute.;
David Pennington;None from Georgia;David Pennington is mayor of Dalton, Ga.;
Julian Assange;nan;Julian Assange is one of the founders of the whistleblower Web site, Wikileaks.;
Stuart Sternberg;None from Florida;Stuart Sternberg is the principal owner of the Tampa Bay Rays baseball team.;
Tom Fanning;nan;Tom Fanning is the chief executive officer of Southern Co., based in Atlanta. Southern Co. operates in four states and owns Georgia Power. He has been at the company for more than 30 years.;
Robert Gibbs;nan;Robert Gibbs served as White House press secretary for President Barack Obama. He now is a Democratic consultant.;
Trebor Banstetter;None from Georgia;Delta Spokesman.;
Choose: New Jersey;None from New Jersey;Choose: New Jersey is a nonprofit organization that markets the state to attract businesses and jobs to New Jersey.;
Raphael Warnock;None from Georgia;The Rev. Raphael Warnock is the senior pastor of Ebenezer Baptist Church, located in Atlanta. The church's former pastors include the Rev. Martin Luther King Jr.;
Ann Teich;None from Texas;Ann Teich, initially elected to Austin's school board in 2012 and re-elected in 2012, represents District 3.;
Jerome Buting;nan;"Jerome Buting is a criminal defense lawyer based in the Milwaukee suburb of Brookfield, Wis. His past clients include Steven Avery, a Wisconsin man convicted of murder whose case is featured in the 2015 Netflix series ""Making A Murderer.""";
Civitas Institute;None from North Carolina;Civitas is a Raleigh-based nonprofit organization that promotes conservative policies;
Republican Party of Florida;The PolitiFact scorecard;The Republican Party of Florida represents Republicans in Florida.;
Akbar Al Baker;None from Qatar;CEO of Qatar Airways;
Put Alaska First PAC;None from Alaska;Put Alaska First is a political action committee supporting Democratic Sen. Mark Begich of Alaska.;
Jon Richards;nan;Wisconsin state Rep. Jon Richards, D-Milwaukee, was elected to the state Assembly in 1998. He did not seek reelection in 2014 and was an unsuccessful candidate in the Aug. 12, 2014 primary election for state attorney general.;
Karen Lewis;None from Illinois;Karen Lewis is president of the Chicago Teachers Union.;
David Wyss;nan;David Wyss is the chief economist at Standard & Poor’s.;
House Natural Resources Committee Republicans;nan;The Republicans on the House Natural Resources Committee;
Tom Palzewicz;nan;Tom Palzewicz, a Democratic business owner from the Milwaukee suburb of Brookfield, is a 2018 candidate for the U.S. House seat held by Republican Jim Sensenbrenner.;
Robert Gates;nan;Robert Gates is the U.S. Secretary of Defense. He was first appointed by President George W. Bush in 2006 and was named to remain office by President Barack Obama in 2009.;
Vicki Saporta;nan;Vicki Saporta has been president and CEO of the National Abortion Federation since 1995.;
Joe Zepecki;nan;Joe Zepecki, a Democrat, is the communications director for Mary Burke's 2014 campaign for governor of Wisconsin.;
Pat Boone;nan;Pat Boone is the spokesperson for the 60 Plus Association, a conservative political group that focuses on older Americans.;
Kathleen Falk;The PolitiFact scorecard;Kathleen Falk, a Wisconsin Democrat, lost a bid in 2012 for the Democratic nomination to run against Gov. Scott Walker in a recall election. Falk served as the Dane County executive from 1997 to 2011. She ran unsuccessfully for governor in 2002 and for state attorney general in 2006.;
Mike Tate;nan;Mike Tate is chairman of the Democratic Party of Wisconsin. He previously worked for Jim Doyle, the former Wisconsin governor, a public employee union and a voter mobilization organization.;
Virginia Tea Party Patriots;nan;Virginia Tea Party Patriots is a statewide tea party federation of local Tea Party groups.;
Dream Defenders;None from Florida;"The Dream Defenders describe themselves as ""a human rights organization, directed by Black & Brown youth who confront Inequality & the Criminalizing of our Generation with nonviolent Direct Action and building of collective power in our communities.""";
True The Vote;nan;"True the Vote, which originated in Houston, describes itself as an ""initiative developed by citizens for citizens to inspire and equip volunteers for involvement at every stage of our electoral process and to actively protect the rights of legitimate voters regardless of race or party affiliation.""";
Uber;None from Texas;Uber is a ride-sharing service with providers in many cities including Austin.;
Mark Tapscott;nan;Mark Tapscott is the editorial page editor for the Washington Examiner.;
Brian Wilson;None from Oregon;Brian Wilson has a long history of community service, though no elected experience. Most notably, he led the Multnomah County Library’s successful 2012 campaign to get win voter approval for a library district.;
Workers' Voice;None from District of Columbia;"Workers' Voice is a ""super PAC"" affiliated with the AFL-CIO";
Victoria Taft;None from Oregon;Victoria Taft is a conservative talk show host on KPAM radio.;
John Oliver;The PolitiFact scorecard;"John Oliver is the host of ""Last Week Tonight"" on HBO. Previously he was a correspondent for Comedy Central's ""The Daily Show.""";
Danielle Pletka;None from Washington, D.C.;Danielle Pletka is senior vice president for foreign and defense policy studies at the American Enterprise Institute, a conservative think tank.;
Jason Haas;None from Wisconsin;Jason Haas was elected to the Milwaukee County Board in an April 2011 special election. He is a stay-at-home father.;
Dana Loesch;nan;In 2017, Dana Loesch became an NRA spokeswoman. Loesch is a conservative talk show host and commentator. She broadcasts from Dallas, Texas.;
Juan Williams;nan;Juan Williams is a Fox pundit.;
Lisa Moore;None from Texas;Lisa L. Moore, who has taught in the University of Texas Department of English since 1991, joined two fellow faculty members in filing suit in 2016 against a state law permitting conceal-carry permit holders to bring handguns into university classrooms.;
Richard Clarke;nan;Richard Clarke is an expert in national security and counterterrorism. He is chairman & CEO of Good Harbor, a security consulting company, and an on-air consultant for ABC News. He served in the government for about 30 years, at both the Pentagon and the White House.;
PuppetStringNews.com;nan;A website associated with fake news.;
Jack Hanna;None from Ohio;Jack Hanna is a longtime animal advocate and director emeritus of the Columbus (Ohio) Zoo and Aquarium. He's often appeared on television to discuss animals, including The Late Show with David Letterman and his own show, Jack Hanna's Animal Adventures.;
Michael Adams;nan;Michael Adams is president of the University of Georgia.;
David Gregory;None from Washington, D.C.;David Gregory is a veteran broadcast journalist who is the host of NBC's long-running Sunday morning public-affairs show Meet the Press.;
Heather McGhee;nan;Heather C. McGhee is president of Demos, a group that believes too much political and economic power lies in the hands of too few people;
Lowell Holtz;None from Wisconsin;Lowell Holtz was a candidate in the spring 2017 primary for the nonpartisan position of State Superintendent of Public Instruction. He's a former principal and school superintendent in multiple Wisconsin school districts.;
Occupy Democrats;The PolitiFact scorecard;"Occupy Democrats, founded in 2012, is an advocacy group created to counterbalance the Republican tea party, and to ""give President Obama and other progressive Democrats a Congress that will work with them to grow the economy, create jobs, promote fairness and fight inequality, and get money out of politics!""";
American Petroleum Institute;nan;The American Petroleum Institute is a national trade association representing American oil and natural gas companies and industries.;
Chris Ruddy;nan;Chris Ruddy is the CEO of Newsmax, a conservative news website.;
Committee of Austin's Children PAC;None from Texas;The Committee of Austin's Children PAC is supportive of a November 2017 bond proposition offered by the school board of the Austin school district.;
Brit Hume;nan;Brit Hume is a Fox News political analyst.;
Anne Nolan;Activist from Rhode Island;Anne Nolan is president of Crossroads Rhode Island, which operates the state’s largest homeless shelter.;
Ellen Troxclair;None from Texas;Ellen Troxclair, elected in 2014 to represent a Southwest Austin district on the Austin City Council, says she otherwise volunteers in the community and manages a real estate management business.;
Atlanta Sports Council;nan;The Atlanta Sports Council helps support and recruit sports events.;
For Our Future Florida;None from Florida;For Our Future Florida is a progressive advocacy group.;
Our Principles PAC;nan;Our Principles PAC was formed by Katie Packer, a veteran Republican strategist, with the goal of reducting support for Donald Trump.;
Lars Larson;None from Oregon;"Lars Larson is a conservative radio talk show host. The ""Lars Larson"" show runs on 18 radio stations in Oregon and Washington. His Compass Media Networks national show is carried by 200 radio stations around the country. Larson got his start in radio, then reported for KPTV, Channel 12, in Portland for many years.";
Sameh Shoukry;nan;Sameh Shoukry is the Egyptian ambassador to the United States.;
Viral image;The PolitiFact scorecard;"Graphics, pictures and charts shared on social media give chain emails a run for their money when it comes to spreading too-good-to-be-true claims all over the Internet. A common form is is the ""Internet macro,"" which uses an easily recognized and repurposed image (called a meme) wth superimposed text to make a funny but political argument. Sometimes these images are passed across social networks like Facebook, Twitter and Reddit so widely that the original source is nearly impossible to determine.";
Mike McCabe;nan;Mike McCabe, of Madison, is running for the Democratic nomination for governor of Wisconsin in 2018. He was executive director of the non-profit Wisconsin Democracy Campaign, which tracks money in state politics.;
Peggy Noonan;nan;"Peggy Noonan is a columnist for the ""Wall Street Journal.""";
Oregon Lottery;nan;The Oregon Lottery provides money for economic development and schools.;
George Nee;Labor leader from Rhode Island;George Nee has been president of the Rhode Island AFL-CIO since September 2009.;
Dick Armey;nan;Dick Armey is the former Republican Leader in the House of Representatives and the current chairman of FreedomWorks, a group that advocates for lower taxes and small government.;
Paul Manafort;nan;Paul Manafort is the chairman for Donald Trump's 2016 presidential campaign.;
Katrina vanden Heuvel;nan;Katrina vanden Heuvel is the editor of The Nation.;
Zell Miller;None from Georgia;Zell Miller was governor of Georgia from 1991 to 1999. He served in the U.S. Senate from 2001 through 2004.;
David Axelrod;The PolitiFact scorecard;David Axelrod is a former senior adviser to President Barack Obama. He is now an analyst for NBC News.;
Mary Jordan;None from Washington, D.C.;Mary Jordan is moderator of Washington Post Live, a conference and events arm of the Washington Post. She was the Washington Post's co-bureau chief in Tokyo from 1995 to 1999 and in Mexico City from 2000 to 2005.;
Gen. Peter Chiarelli;nan;Gen. Peter Chiarelli is the vice chief of staff for the United States Army.;
Scott Pruitt;nan;Scott Pruitt is administrator of the Environmental Protection Agency, since February 2017. Before that, he was the state attorney general for Oklahoma.;
Rose Mary Grant;Activist from Rhode Island;Rose Mary Grant is head of school at Highlander Charter School in Providence and president of the board of the Rhode Island League of Charter Schools.;
Scot Ross;nan;Scot Ross is executive director of the Madison-based One Wisconsin Now, a liberal advocacy group. He formerly worked as a communication director for Democrats who have served in Congress and in Wisconsin state government.;
Forbes blog;nan;The Forbes blog is an online news blog hosted by Forbes magazine.;
Janet Freedman;State official from Rhode Island;Janet Freedman is a coastal geologist with the Coastal Resources Management Council.;
If You Only News;None from Unknown;If You Only News describes itself as a news-entertainment service.;
Bryan Kennedy;None from Wisconsin;Bryan Kennedy is president of the Wisconsin chapter of the American Federation of Teachers, known as AFT-Wisconsin, a union that represents professional employees who work for the state or local government. In 2004 and 2006, he ran as a Democrat against U.S. Rep. Jim Sensenbrenner (R-Menomonee Falls).;
Markos Moulitsas;None from California;Markos Moulitsas is the founder and publisher of Daily Kos, a widely read liberal blog.;
Bob Corker;nan;Bob Corker is a senator from Tennessee.;
